InputText,id,Text,type
Revised SweepIn Limit Ace Current Account,0,"<strong>Current Account Product / current account product : </strong>Ace Current Account
<strong>revised Sweep Out Limit : </strong>5,00,000
<strong>revised Sweep In Limit : </strong>5,00,000",text
Revised SweepIn Limit Trader Pro rent Account,1,"<strong>Current Account Product / current account product : </strong>Trader Pro Current Account
<strong>revised Sweep Out Limit : </strong>5,00,000
<strong>revised Sweep In Limit : </strong>5,00,000",text
Revised SweepIn Limit Ace Plus Current Account,2,"<strong>Current Account Product / current account product : </strong>Ace Plus Current Account
<strong>revised Sweep Out Limit : </strong>500000.0
<strong>revised Sweep In Limit : </strong>500000.0

<strong>Current Account Product / current account product : </strong>Elite Plus Current Account
<strong>revised Sweep Out Limit : </strong>200000.0
<strong>revised Sweep In Limit : </strong>200000.0

<strong>Current Account Product / current account product : </strong>Pro Plus Current Account
<strong>revised Sweep Out Limit : </strong>100000.0
<strong>revised Sweep In Limit : </strong>100000.0

<strong>Current Account Product / current account product : </strong>Ace Current Account
<strong>revised Sweep Out Limit : </strong>5,00,000
<strong>revised Sweep In Limit : </strong>5,00,000",text
Revised SweepIn Limit Classic Current Account,3,"<strong>Current Account Product / current account product : </strong>Classic Current Account
<strong>revised Sweep Out Limit : </strong>50000.0
<strong>revised Sweep In Limit : </strong>50000.0

<strong>Current Account Product / current account product : </strong>Elite Current Account
<strong>revised Sweep Out Limit : </strong>2,00,000
<strong>revised Sweep In Limit : </strong>2,00,000

<strong>Current Account Product / current account product : </strong>Ace Current Account
<strong>revised Sweep Out Limit : </strong>5,00,000
<strong>revised Sweep In Limit : </strong>5,00,000

",text
Revised SweepIn Limit Edge Current Account,4,"<strong>Current Account Product / current account product : </strong>Edge Current Account
<strong>revised Sweep Out Limit : </strong>50000.0
<strong>revised Sweep In Limit : </strong>50000.0

<strong>Current Account Product / current account product : </strong>Elite Current Account
<strong>revised Sweep Out Limit : </strong>2,00,000
<strong>revised Sweep In Limit : </strong>2,00,000

<strong>Current Account Product / current account product : </strong>Ace Current Account
<strong>revised Sweep Out Limit : </strong>5,00,000
<strong>revised Sweep In Limit : </strong>5,00,000

",text
Revised SweepIn Limit Elite Current Account,5,"<strong>Current Account Product / current account product : </strong>Elite Current Account
<strong>revised Sweep Out Limit : </strong>2,00,000
<strong>revised Sweep In Limit : </strong>2,00,000

<strong>Current Account Product / current account product : </strong>Ace Current Account
<strong>revised Sweep Out Limit : </strong>5,00,000
<strong>revised Sweep In Limit : </strong>5,00,000

",text
Revised SweepIn Limit Elite Plus Current Account,6,"<strong>Current Account Product / current account product : </strong>Elite Plus Current Account
<strong>revised Sweep Out Limit : </strong>200000.0
<strong>revised Sweep In Limit : </strong>200000.0

<strong>Current Account Product / current account product : </strong>Elite Current Account
<strong>revised Sweep Out Limit : </strong>2,00,000
<strong>revised Sweep In Limit : </strong>2,00,000

<strong>Current Account Product / current account product : </strong>Ace Current Account
<strong>revised Sweep Out Limit : </strong>5,00,000
<strong>revised Sweep In Limit : </strong>5,00,000

",text
Revised SweepIn Limit Neo Current Account,7,"<strong>Current Account Product / current account product : </strong>Neo Current Account
<strong>revised Sweep Out Limit : </strong>50000.0
<strong>revised Sweep In Limit : </strong>50000.0

<strong>Current Account Product / current account product : </strong>Elite Current Account
<strong>revised Sweep Out Limit : </strong>2,00,000
<strong>revised Sweep In Limit : </strong>2,00,000

<strong>Current Account Product / current account product : </strong>Ace Current Account
<strong>revised Sweep Out Limit : </strong>5,00,000
<strong>revised Sweep In Limit : </strong>5,00,000

",text
Revised SweepIn Limit Pro Current Account,8,"<strong>Current Account Product / current account product : </strong>Pro Current Account
<strong>revised Sweep Out Limit : </strong>1,00,000
<strong>revised Sweep In Limit : </strong>1,00,000

<strong>Current Account Product / current account product : </strong>Elite Current Account
<strong>revised Sweep Out Limit : </strong>2,00,000
<strong>revised Sweep In Limit : </strong>2,00,000

<strong>Current Account Product / current account product : </strong>Ace Current Account
<strong>revised Sweep Out Limit : </strong>5,00,000
<strong>revised Sweep In Limit : </strong>5,00,000

",text
Revised SweepIn Limit Pro Plus Current Account,9,"<strong>Current Account Product / current account product : </strong>Pro Plus Current Account
<strong>revised Sweep Out Limit : </strong>100000.0
<strong>revised Sweep In Limit : </strong>100000.0

<strong>Current Account Product / current account product : </strong>Pro Current Account
<strong>revised Sweep Out Limit : </strong>1,00,000
<strong>revised Sweep In Limit : </strong>1,00,000

<strong>Current Account Product / current account product : </strong>Elite Current Account
<strong>revised Sweep Out Limit : </strong>2,00,000
<strong>revised Sweep In Limit : </strong>2,00,000

<strong>Current Account Product / current account product : </strong>Ace Current Account
<strong>revised Sweep Out Limit : </strong>5,00,000
<strong>revised Sweep In Limit : </strong>5,00,000

",text
Revised SweepIn Limit Synergy Current Account,10,"<strong>Current Account Product / current account product : </strong>Synergy Current Account
<strong>revised Sweep Out Limit : </strong>50000.0
<strong>revised Sweep In Limit : </strong>50000.0

<strong>Current Account Product / current account product : </strong>Elite Current Account
<strong>revised Sweep Out Limit : </strong>2,00,000
<strong>revised Sweep In Limit : </strong>2,00,000

<strong>Current Account Product / current account product : </strong>Ace Current Account
<strong>revised Sweep Out Limit : </strong>5,00,000
<strong>revised Sweep In Limit : </strong>5,00,000

",text
Revised SweepIn Limit Trader Classic Current Account,11,"<strong>Current Account Product / current account product : </strong>Trader Classic Current Account
<strong>revised Sweep Out Limit : </strong>1,00,000
<strong>revised Sweep In Limit : </strong>1,00,000

<strong>Current Account Product / current account product : </strong>Classic Current Account
<strong>revised Sweep Out Limit : </strong>50000.0
<strong>revised Sweep In Limit : </strong>50000.0

<strong>Current Account Product / current account product : </strong>Elite Current Account
<strong>revised Sweep Out Limit : </strong>2,00,000
<strong>revised Sweep In Limit : </strong>2,00,000

<strong>Current Account Product / current account product : </strong>Ace Current Account
<strong>revised Sweep Out Limit : </strong>5,00,000
<strong>revised Sweep In Limit : </strong>5,00,000

",text
Revised SweepOut Limit Ace Current Account,12,"<strong>Current Account Product / current account product : </strong>Ace Current Account
<strong>revised Sweep Out Limit : </strong>5,00,000
<strong>revised Sweep In Limit : </strong>5,00,000

",text
Revised SweepOut Limit Ace CurTrader Pro rent Account,13,"<strong>Current Account Product / current account product : </strong>Ace Current Account
<strong>revised Sweep Out Limit : </strong>5,00,000
<strong>revised Sweep In Limit : </strong>5,00,000

",text
Revised SweepOut Limit Ace Plus Current Account,14,"<strong>Current Account Product / current account product : </strong>Ace Plus Current Account
<strong>revised Sweep Out Limit : </strong>500000.0
<strong>revised Sweep In Limit : </strong>500000.0

<strong>Current Account Product / current account product : </strong>Elite Plus Current Account
<strong>revised Sweep Out Limit : </strong>200000.0
<strong>revised Sweep In Limit : </strong>200000.0

<strong>Current Account Product / current account product : </strong>Pro Plus Current Account
<strong>revised Sweep Out Limit : </strong>100000.0
<strong>revised Sweep In Limit : </strong>100000.0

<strong>Current Account Product / current account product : </strong>Ace Current Account
<strong>revised Sweep Out Limit : </strong>5,00,000
<strong>revised Sweep In Limit : </strong>5,00,000

",text